affixe,chiens,presentations,resultats,points,chiens_resultats,haut_niveau,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation,points_moyens_par_chien,pct_chiens_resultats,fiabilite,chiens_leaders,disciplines_fortes,indice_affixe
THE WAY D'ISARUDY,1,25,5,284,1,0,0,0,0,0,5,0,0,0.2,11.36,284.0,1.0,échantillon faible,SHOW ME THE WAY D'ISARUDY,"becassine, becasse",33.173148532761076
DU RIDEAU DE LA LOUVE,1,19,3,190,1,1,0,0,0,1,2,0,0,0.15789473684210525,10.0,190.0,1.0,échantillon faible,LUTECE DU RIDEAU DE LA LOUVE,"printemps, becasse",33.114526562962645
DE BASSEGAS,6,74,4,227,1,0,0,0,0,0,4,0,0,0.05405405405405406,3.0675675675675675,37.833333333333336,0.16666666666666666,exploitable,"UNA DE BASSEGAS, ESKOBAR DE BASSEGAS, LORA DE BASSEGAS","becasse, printemps, grande_quete",33.04652945595393
DES MONTS DE L'ARN,1,11,2,125,1,1,0,0,0,1,1,0,0,0.18181818181818182,11.363636363636363,125.0,1.0,échantillon faible,TRUMP DES MONTS DE L'ARN,"discipline_non_identifiee, printemps",33.039877470190056
DE L'AMI TARTARIN,1,28,6,281,1,0,0,0,0,0,4,2,0,0.21428571428571427,10.035714285714286,281.0,1.0,échantillon faible,LORD DE L'AMI TARTARIN,becasse,32.875618587317405
DU PECHERAT DE NOUSTE,2,55,5,257,2,1,0,0,1,0,2,2,0,0.09090909090909091,4.672727272727273,128.5,1.0,échantillon faible,"LINOTTE DU PECHERAT DE NOUSTE, LINOTTE DU PECHERAT DE NOUSTE","printemps, becasse, discipline_non_identifiee",32.718719254355555
DE L'OREE DE CABANAC,2,35,4,225,2,1,0,0,1,0,2,1,0,0.11428571428571428,6.428571428571429,112.5,1.0,échantillon faible,"PIXEL DE L'OREE DE CABANAC, UNKA DE L'OREE DE CABANAC",becasse,32.51634245819912
DE TAL AR MENHIR,1,34,5,272,1,0,0,0,0,0,5,0,0,0.14705882352941177,8.0,272.0,1.0,échantillon faible,PRINCESSE DE TAL AR MENHIR,"printemps, becasse",32.43450391679764
DU POULIT S,1,36,4,215,1,1,0,0,1,0,2,1,0,0.1111111111111111,5.972222222222222,215.0,1.0,échantillon faible,REGLIZ MENTHE DU POULIT S,printemps,32.28432402238696
DI LORO PICENO,3,29,1,100,1,1,1,0,0,0,0,0,0,0.034482758620689655,3.4482758620689653,33.333333333333336,0.3333333333333333,exploitable,"CRONO DI LORO PICENO, DERO DI LORO PICENO, TOBIA DI LORO PICENO","printemps, becassine, discipline_non_identifiee",32.28376032769745
